CNPJ;Nome;Site;Perfil;Código
00038166000105;BANCO CENTRAL DO BRASIL;;EMITENTE DE GARANTIAS;50001
00038166000105;BANCO CENTRAL DO BRASIL;;LIQUIDANTE;10999
00038166000105;BANCO CENTRAL DO BRASIL;;MEMBRO DE COMPENSAÇÃO;9999
00038166000105;BANCO CENTRAL DO BRASIL;;PARTICIPANTE DE BALCÃO;810
00038166000105;BANCO CENTRAL DO BRASIL;;PARTICIPANTE DE NEGOCIAÇÃO PLENO;810
00038166000105;BANCO CENTRAL DO BRASIL;;SEGMENTO BALCAO;00004.00-6
00038166000954;SISTEMA ESPECIAL DE LIQUIDAÇÃO E CUSTÓDIA;;SEGMENTO BALCAO;99999999-9
00066670000100;BEM DTVM LTDA;;ADMINISTRADOR DE CLUBES;3772
00066670000100;BEM DTVM LTDA;;ADMINISTRADOR iMERCADO;3772
00066670000100;BEM DTVM LTDA;;SEGMENTO BALCAO;01422.00-3
00068987000186;COOPERATIVA DE CREDITO SICOOB ARACREDI LTDA - SICOOB ARACREDI;;SEGMENTO BALCAO;06081.00-9
00071477000168;BB RENDA FIXA AUTOMATICO EMPRESA SIMPLES FIC FI;;SEGMENTO BALCAO;12750.00-1
00073041000108;BB BESC RENDA FIXA PRATICO CREDITO PRIVADO FUNDO DE INVESTIMENTO;;SEGMENTO BALCAO;00607.00-1
00073957000168;ELETROSUL CENTRAIS ELETRICAS S/A;;SEGMENTO BALCAO;22234.40-7
00075847000135;COOP DE CREDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL;;SEGMENTO BALCAO;11037.00-0
00080671000100;CARAMURU ALIMENTOS S.A.;;SEGMENTO BALCAO;37119.00-5
00080782000116;FIASUL INDUSTRIA DE FIOS LTDA;;SEGMENTO BALCAO;45232.40-0
00083181000167;OPP I FI EM ACOES BDR NIVEL I INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCAO;46898.00-1
00090057000129;MARSIAJ OLIVEIRA S/A;;SEGMENTO BALCAO;25969.41-8
00098693000105;PREV PEPSICO - SOCIEDADE PREVIDENCIARIA;;SEGMENTO BALCAO;06127.70-5
00101698000131;YPEARTS AUDIOVISUAL LTDA;;SEGMENTO BALCAO;34199.44-4
00102322000141;BOREAL ACOES III FUNDO DE INVESTIMENTO EM ACOES;;SEGMENTO BALCAO;85008.00-3
00106180000190;CCC DOS EST DE MG E MS E DO MUNICIPIO DE CACOAL/RO - SICOOB CENTRAL RONDON;;SEGMENTO BALCAO;01393.00-8
00107852000182;PORTOPREV - PORTO SEGURO PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCAO;82329.70-9
00108786000165;NET SERVICOS DE COMUNICACAO S.A.;;SEGMENTO BALCAO;16286.40-9
00117842000128;CIBRAFERTIL COMPANHIA BRASILEIRA DE FERTILIZANTES;;SEGMENTO BALCAO;45405.40-2
00122327000136;SANTINVEST S/A  CFI;;SEGMENTO BALCAO;18555.00-4
00132229000180;ONCOMED CENTRO DE PREVENCAO E TRATAMENTO DE DOENCAS NEOPLASTICAS S.A.;;SEGMENTO BALCAO;51030.40-7
00145602000137;KRONA TUBOS E CONEXOES LTDA.;;SEGMENTO BALCAO;54186.40-6
00156956000187;FAMA INVESTIMENTOS LTDA;www.famainvestimentos.com.br;GESTOR;4780
00158783000136;VIKINGPREV SOCIEDADE DE PREVIDENCIA PRIVADA;;SEGMENTO BALCAO;14376.70-6
00162760000103;MERCEDEZ BENZ LEASING DO BRASIL ARRENDAMENTO MERCANTIL S/A;;SEGMENTO BALCAO;06417.00-6
00169331000150;INTERBOLSA DO BRASIL ADM DE BENS LTDA;;SEGMENTO BALCAO;14202.44-7
00173802000101;C.A.W. PROJETOS E CONSULTORIA INDUSTRIAL LTDA;;SEGMENTO BALCAO;45693.40-3
00180995000110;SAFRA EXECUTIVE MAX RENDA FIXA FIC FI;;SEGMENTO BALCAO;49438.00-4
00184068000178;COOPERATIVA DE CREDITO UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM;;SEGMENTO BALCAO;02996.00-2
00185041000108;ITIQUIRA ENERGETICA S.A;;SEGMENTO BALCAO;38504.40-6
00192769000159;NEUMARKT TRADE AND FINANCIAL CENTER S/A;;SEGMENTO BALCAO;32929.41-0
00194256000187;BB EXTRAMERCADO FAE FI RENDA FIXA;;SEGMENTO BALCAO;18668.00-1
00194724000113;AES BRASIL OPERACOES S.A.;;SEGMENTO BALCAO;43522.40-4
00204963000107;COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA;;SEGMENTO BALCAO;27407.00-2
00209895000179;REJAILE DISTRIBUIDORA DE PETROLEO LTDA;;SEGMENTO BALCAO;52046.00-5
00211294000109;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO EUCALIPTO;;SEGMENTO BALCAO;56498.00-6
00222816000160;SAFRA EXECUTIVE FICFI RENDA FIXA;;SEGMENTO BALCAO;40508.00-5
00234398000120;LILLYPREV SOCIEDADE DE PREVIDENCIA PRIVADA;;SEGMENTO BALCAO;01298.74-9
00242184000104;ARMAC LOCACAO LOGISTICA E SERVICOS S.A.;;SEGMENTO BALCAO;40242.40-2
00253448000117;BANCO NEON S/A;;SEGMENTO BALCAO;07350.00-7
00257874000129;CLUBE DE INVESTIMENTOS HIKARI;;SEGMENTO BALCAO;44761.70-7
00259231000114;COOPERATIVA SICOOB UNIMAIS METROPOLITANA - COOPERATIVA DE CREDITO;;SEGMENTO BALCAO;03648.00-5
00282862000154;AUTO RICCI S.A.;;SEGMENTO BALCAO;18113.40-8
00306278000191;BRADESCO FIC DE FIF RENDA FIXA REFERENCIADO DI - RESP LTDA;;SEGMENTO BALCAO;09219.00-5
00309024000127;CENTRAL DAS CEC DO ESTADO DE MINAS GERAIS LTDA. SICOOB CENTRAL CECREMGE;;SEGMENTO BALCAO;01136.00-7
00315557000111;CONF. NAC. COOP. CENTRAIS UNICRED LTDA-UNICRED BR;;CUSTODIANTE BALCÃO;81007
00315557000111;CONF. NAC. COOP. CENTRAIS UNICRED LTDA-UNICRED BR;;PARTICIPANTE DE BALCÃO;81007
00315557000111;CONF. NAC. COOP. CENTRAIS UNICRED LTDA-UNICRED BR;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;03144.00-4
00322699000106;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CREDITO PRIVADO LONGO PRAZO EXECUTIVO;;SEGMENTO BALCAO;53498.00-9
00329598000167;SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBIL;;ESCRITURADOR;4030
00329598000167;SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBIL;;SEGMENTO BALCAO;03266.00-9
00336036000140;COINVALORES CCVM LTDA;www.coinvalores.com.br;ADMINISTRADOR DE CLUBES;74
00336036000140;COINVALORES CCVM LTDA;www.coinvalores.com.br;CUSTODIANTE BALCÃO;74
00336036000140;COINVALORES CCVM LTDA;www.coinvalores.com.br;PARTICIPANTE DE BALCÃO;74
00346750000110;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCAO;37816.00-9
00350763000162;JEF INVESTIMENTOS S.A.;;SEGMENTO BALCAO;48452.40-7
00355861000192;SUPERINSPECT LTDA;www.superinspect.com.br;SUPERVISORA DE QUALIDADE;7501
00357038000116;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE;;SEGMENTO BALCAO;37991.40-5
00360305000104;CAIXA ECONOMICA FEDERAL;;ADMINISTRADOR iMERCADO;400 - 1570
00360305000104;CAIXA ECONOMICA FEDERAL;;AGENTE DE CUSTÓDIA;570 - 1570 - 4570
00360305000104;CAIXA ECONOMICA FEDERAL;;CUSTODIANTE BALCÃO;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;EMITENTE DE GARANTIAS;10155
00360305000104;CAIXA ECONOMICA FEDERAL;;ESCRITURADOR;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;GESTOR;400 - 1570 - 30112
00360305000104;CAIXA ECONOMICA FEDERAL;;LIQUIDANTE;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;570
00360305000104;CAIXA ECONOMICA FEDERAL;;PARTICIPANTE DE BALCÃO;400 - 1570 - 30112
00360305000104;CAIXA ECONOMICA FEDERAL;;PARTICIPANTE DE NEGOCIAÇÃO;570 - 1570 - 4570
00360305000104;CAIXA ECONOMICA FEDERAL;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;71040.00-6
00360459000104;DOCUMENTA PRODUCOES LTDA;;SEGMENTO BALCAO;38729.44-9
00366402000104;FUNDACAO ITAUSA INDUSTRIAL;;SEGMENTO BALCAO;68659.70-9
00374829000154;CLUBE DE INVESTIMENTO DOS EMPREGADOS  DA VALE-INVESTVALE;;SEGMENTO BALCAO;56769.00-3
00374856000127;UNIPREV FUNDACAO UNIFENAS DE PREVIDENCIA PRIVADA;;SEGMENTO BALCAO;83729.70-0
00378257000181;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;;SEGMENTO BALCAO;17458.00-9
00383281000109;BNDES PARTICIPACOES S/A - BNDESPAR;;SEGMENTO BALCAO;16007.00-4
00384261000152;ITAU FUNDO MULTIPATROCINADO;;SEGMENTO BALCAO;38002.75-7
00389481000179;LM TRANSPORTES INTERESTADUAIS SERVICOS E COMERCIO S.A.;;SEGMENTO BALCAO;24464.40-2
00394460040950;SECRETARIA DO TESOURO NACIONAL / BACEN;;LIQUIDANTE;2695
00394460040950;SECRETARIA DO TESOURO NACIONAL / BACEN;;PARTICIPANTE DE BALCÃO;2695
00394460040950;SECRETARIA DO TESOURO NACIONAL / BACEN;;SEGMENTO BALCAO;27019.00-5
00397695000197;FUND DE ASSIST E PREV SOCIAL DO BNDES -FAPES;;GESTOR;3115
00397695000197;FUND DE ASSIST E PREV SOCIAL DO BNDES -FAPES;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;26909.71-4
00400490000113;PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCAO;10293.00-3
00409834000155;PRIME INCORPORACOES E CONSTRUCOES S/A;;SEGMENTO BALCAO;23333.40-0
00411939000149;FINAMAX SA CREDITO FINANCIAMENTO E INVEST;;CUSTODIANTE BALCÃO;20941
00411939000149;FINAMAX SA CREDITO FINANCIAMENTO E INVEST;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;10705.00-3
00416968000101;BANCO INTER S/A;https://inter.co/;CUSTODIANTE BALCÃO;3606
00416968000101;BANCO INTER S/A;https://inter.co/;EMITENTE DE GARANTIAS;10077
00416968000101;BANCO INTER S/A;https://inter.co/;LIQUIDANTE;3606
00416968000101;BANCO INTER S/A;https://inter.co/;MEMBRO DE COMPENSAÇÃO;3606
00416968000101;BANCO INTER S/A;https://inter.co/;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;55262
00416968000101;BANCO INTER S/A;https://inter.co/;PARTICIPANTE DE BALCÃO;3606
00416968000101;BANCO INTER S/A;https://inter.co/;SEGMENTO BALCAO,PARTICIPANTE DE CCP;10685.00-6
00424129000127;LUCIO EMPR. E PARTICIPACOES LTDA;;SEGMENTO BALCAO;55694.40-9
00426485000180;NOVA AMERICA ARMAZENS GERAIS LTDA;;PARTICIPANTE DEPOSITÁRIO AGRÍCOLA;8096
00429890000151;COOPERATIVA DE CREDITO CREDIAGRO LTDA;;SEGMENTO BALCAO;06556.00-8
00436923000190;FUNDACAO DOS ECONOMIARIOS FEDERAIS FUNCEF;www.funcef.com.br;GESTOR;909
00436923000190;FUNDACAO DOS ECONOMIARIOS FEDERAIS FUNCEF;www.funcef.com.br;SEGMENTO BALCAO,PARTICIPANTE DE CCP;26829.70-8
00446918000169;ALPHAVILLE URBANISMO S/A.;;SEGMENTO BALCAO;18463.40-2
00455985000140;VALGROUP RJ INDUSTRIA DE EMBALAGENS RIGIDAS LTDA;;SEGMENTO BALCAO;45049.40-4
00460065000110;COLUNA S/A DTVM;;PARTICIPANTE DE BALCÃO;1752
00460065000110;COLUNA S/A DTVM;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;14353.00-4
00463569000193;BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM ACOES IBOVESPA ALAVANCADO;;SEGMENTO BALCAO;08273.00-4
00469585000193;FACEB-FUNDACAO DE ASSIST EMPREGADOS DA CEB;;GESTOR;20706
00469585000193;FACEB-FUNDACAO DE ASSIST EMPREGADOS DA CEB;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;31039.71-0
00493916000120;FUNDACAO SISTEL DE SEGURIDADE SOCIAL;;GESTOR;71067
00493916000120;FUNDACAO SISTEL DE SEGURIDADE SOCIAL;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;26999.70-0
00494427000193;INSTITUTO ADVENTISTA DE JUBILACAO E ASSISTENCIA;;SEGMENTO BALCAO;68359.78-6
00499424000142;ACESA PRODUCOES I LTDA;;SEGMENTO BALCAO;39549.44-6
00512839000109;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DE SANTO ANDRE;;SEGMENTO BALCAO;31911.00-3
00517645000104;BANCO RIBEIRAO PRETO S/A;;CUSTODIANTE BALCÃO;10741
00517645000104;BANCO RIBEIRAO PRETO S/A;;PARTICIPANTE DE BALCÃO;10741
00517645000104;BANCO RIBEIRAO PRETO S/A;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;77410.00-1
00529784000140;INSTITUTO GEIPREV DE SEGURIDADE SOCIAL;;GESTOR;20709
00529784000140;INSTITUTO GEIPREV DE SEGURIDADE SOCIAL;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;25869.00-6
00529828000131;ACESITA PREVIDENCIA PRIVADA;;GESTOR;20710
00529828000131;ACESITA PREVIDENCIA PRIVADA;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;00716.71-0
00529958000174;FIPECQ- F P C DOS EMP OU SERV DA FINEP IPEA CNPQ INPE E INPA;;GESTOR;20711
00529958000174;FIPECQ- F P C DOS EMP OU SERV DA FINEP IPEA CNPQ INPE E INPA;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;25889.71-8
00531590000189;INST. CONAB DE SEGURIDADE SOCIAL - CIBRIUS;;GESTOR;20712
00531590000189;INST. CONAB DE SEGURIDADE SOCIAL - CIBRIUS;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;27309.71-5
00532804000131;CERES FUNDACAO DE PREVIDENCIA;www.ceres.org.br;GESTOR;585
00532804000131;CERES FUNDACAO DE PREVIDENCIA;www.ceres.org.br;SEGMENTO BALCAO,PARTICIPANTE DE CCP;27029.70-3
00533944000124;TEMPO CAPITAL GESTAO DE RECURSOS LTDA;;GESTOR;4863
00535681000192;COMPANHIA PARANAENSE DE GAS COMPAGAS;;SEGMENTO BALCAO;28675.40-0
00543968000164;COOPERATIVA CENTRAL DE CREDITO UNICRED CONEXAO LTDA - UNICRED CENTRAL CONEXAO;;SEGMENTO BALCAO;04075.00-0
00544659000109;BB-PREVIDÊNCIA FUNDO DE PENSÃO BANCO DO BRASIL;;GESTOR;7209
00544659000109;BB-PREVIDÊNCIA FUNDO DE PENSÃO BANCO DO BRASIL;;SEGMENTO BALCAO;20009.00-5
00550644000153;PREVIP SOCIEDADE DE PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCAO;27616.70-7
00556603000174;BARIGUI S/A CREDITO FINANC E INVESTIMENTOS;;CUSTODIANTE BALCÃO;8528
00556603000174;BARIGUI S/A CREDITO FINANC E INVESTIMENTOS;;PARTICIPANTE DE BALCÃO;8528
00556603000174;BARIGUI S/A CREDITO FINANC E INVESTIMENTOS;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;10695.00-3
00558456000171;BANCO CETELEM S/A;;CUSTODIANTE BALCÃO;3712
00558456000171;BANCO CETELEM S/A;;PARTICIPANTE DE BALCÃO;3712
00558456000171;BANCO CETELEM S/A;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;07390.00-5
00565447000108;QUICK SOFT TECNOLOGIA DA INFORMACAO S.A;;SEGMENTO BALCAO;37893.40-0
00571135000107;VEXTY;;SEGMENTO BALCAO;01295.71-1
00575922000127;ALFA ACOES PREMIUM - FUNDO DE INVESTIMENTO EM ACOES;;SEGMENTO BALCAO;07337.00-6
00576685000119;PREVINDUS ASSOCIACAO DE PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCAO;28746.70-0
00580481000151;FUNDACAO ASSISTENCIAL DOS EMPREGADOS DA CESAN-FAECES;;SEGMENTO BALCAO;68399.70-8
00580571000142;FUNDACAO BANCO CENTRAL DE PREVIDENCIA PRIVADA CENTRUS;www.centrus.org.br;PARTICIPANTE DE BALCÃO;4872
00580571000142;FUNDACAO BANCO CENTRAL DE PREVIDENCIA PRIVADA CENTRUS;www.centrus.org.br;SEGMENTO BALCAO,PARTICIPANTE DE CCP;26899.71-4
00585578000157;AGGER S.A.;;SEGMENTO BALCAO;51502.40-9
00585900000148;BRK AMBIENTAL - LIMEIRA S.A.;;SEGMENTO BALCAO;53613.40-6
00598452000117;MB MASTER RF REFERENCIADO DI LP FUNDO DE INVESTIMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;;SEGMENTO BALCAO;23968.00-2
00601692000123;FAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES;;SEGMENTO BALCAO;21629.00-6
00622416000141;STATKRAFT ENERGIAS RENOVAVEIS S.A;;SEGMENTO BALCAO;16265.40-6
00625711000151;HOSPITAL MERIDIONAL S/A;;SEGMENTO BALCAO;29160.40-2
00627638000157;POSTALIS INSTITUTO DE PREVIDENCIA COMPLEMENTAR;;GESTOR;20714
00627638000157;POSTALIS INSTITUTO DE PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;27059.71-1
00635156000149;PARTICIPACOES ABC S/A;;SEGMENTO BALCAO;31839.41-5
00647154000170;ZEMA CIA. DE PETROLEO;;SEGMENTO BALCAO;27744.40-4
00647785000199;ALMA FILMES LTDA;;SEGMENTO BALCAO;33919.44-3
00650386000187;COOP. CAFEICULTORES DO CERRADO MONTE CARMELO;;PARTICIPANTE DEPOSITÁRIO AGRÍCOLA;30033
00655522000121;ASSOC DE POUP E EMPR POUPEX / BB;;PARTICIPANTE DE BALCÃO;70018
00655522000121;ASSOC DE POUP E EMPR POUPEX / BB;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;22560.00-9
00668697000173;AQUATICA MARICULTURA DO BRASIL LTDA;;SEGMENTO BALCAO;39859.00-2
00674246000149;N. ZEPPONE S.A.;;SEGMENTO BALCAO;42235.40-0
00694389000112;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSOCIADOS - SICOOB CREDICARU SC/RS;;SEGMENTO BALCAO;25510.00-1
00694877000120;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO BRASIL CENTRAL LTDA  SICOOB EXECUTIVO;;SEGMENTO BALCAO;03728.00-4
00698609000186;COOPERATIVA DE CREDITO DO NORTE E NOROESTE DE MINAS GERAIS LTDA - SICOOB CREDIGERAIS;;SEGMENTO BALCAO;21804.00-3
00700805000148;LAGOA CULTURAL E ESPORTIVA LTDA;;SEGMENTO BALCAO;33329.44-2
00707903000107;COOPERATIVA DE CREDITO VALE DO CANOAS SICOOB/SC CREDICANOAS;;SEGMENTO BALCAO;28493.00-8
00718528000109;LABORATORIO SABIN DE ANALISES CLINICAS S.A.;;SEGMENTO BALCAO;31765.40-0
00743065000127;LITEL PARTICIPACOES S.A.;;SEGMENTO BALCAO;28001.40-7
00756851000169;BB RENDA FIXA 500 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;;SEGMENTO BALCAO;08671.00-8
00776574000660;AMERICANAS S.A. - EM RECUPERACAO JUDICIAL;;SEGMENTO BALCAO;06773.40-3
00778858000181;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO DISTRITO FEDERAL LTDA - COOSERVCRED;;SEGMENTO BALCAO;44455.00-6
00795423000145;BANCO SEMEAR S.A;;CUSTODIANTE BALCÃO;1705
00795423000145;BANCO SEMEAR S.A;;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;50936
00795423000145;BANCO SEMEAR S.A;;PARTICIPANTE DE BALCÃO;1705
00795423000145;BANCO SEMEAR S.A;;SEGMENTO BALCAO,PARTICIPANTE DE CCP;77430.00-5
00802235000105;FIRST S/A;;SEGMENTO BALCAO;00344.00-3
00803287000198;COOPERATIVA DE CREDITO CREDIVAZ LTDA - SICOOB CREDIVAZ;;SEGMENTO BALCAO;29784.00-8
00804046000163;COOPERATIVA DE CREDITO CREDICAPI LTDA - SICOOB CREDICAPI;;SEGMENTO BALCAO;26362.00-7
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;ADMINISTRADOR DE CLUBES;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;AGENTE DE CUSTÓDIA;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;CUSTODIANTE BALCÃO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;ESCRITURADOR;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;GESTOR;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;LIQUIDANTE;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;MEMBRO DE COMPENSAÇÃO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;PARTICIPANTE DE BALCÃO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;PARTICIPANTE DE NEGOCIAÇÃO;129
00806535000154;PLANNER CORRETORA DE VALORES S/A;www.planner.com.br;SEGMENTO BALCAO,PARTICIPANTE DE CCP;13552.00-2
00807777000162;DAYCOVAL RENDA FIXA FI CP;;SEGMENTO BALCAO;08266.00-4
00813340000131;SANTANDER FICFI EXTRA RF REFERENCIADO DI;;SEGMENTO BALCAO;23538.00-9
00813342000120;SANTANDER RENDA FIXA EQUILIBRIO MAIS FIC DE FI;;SEGMENTO BALCAO;23588.00-4
00815319000175;COOPERATIVA DE CREDITO SUL-SERRANA DO ESPIRITO SANTO;;SEGMENTO BALCAO;09838.00-8
00817677000117;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CREDITO PRIVADO;;SEGMENTO BALCAO;41748.00-8
00819858000182;WESTERN ASSET RF ATIVO SILVER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA;;SEGMENTO BALCAO;27516.00-3
00819875000110;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;;SEGMENTO BALCAO;41878.00-2
00819880000122;WESTERN ASSET CAMBIO DOLAR PRIME FIC FI CAMBIAL;;SEGMENTO BALCAO;08893.00-6
00819889000133;WESTERN ASSET HEDGE DOLAR FI CAMBIAL;;SEGMENTO BALCAO;41978.00-5
00819915000123;WESTERN ASSET DI EXCELLENT FIC FIRF REFERENCIADO;;SEGMENTO BALCAO;52373.00-8
00822954000180;ITAU B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;;SEGMENTO BALCAO;27928.00-0
00824198000128;BRAD FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;;SEGMENTO BALCAO;23198.00-9
00825077000109;BECMAXI FI RF;;SEGMENTO BALCAO;98298.00-6
00826901000137;CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO;;SEGMENTO BALCAO;21408.00-7
00826903000126;CSHG TOP FICFI MULTIMERCADO;;SEGMENTO BALCAO;21388.00-0
00828887000100;PELIKANO DISTRIBUIDORA DE PETROLEO EIRELI;;SEGMENTO BALCAO;38871.00-5
00829280000145;ITAU RENDA FIXA FUNDO DE INVESTIMENTO;;SEGMENTO BALCAO;23678.00-0
00829282000134;ITAU EMPRESA RENDA FIXA REFERENCIADO DI FIF CIC RESP LIMITADA;;SEGMENTO BALCAO;23648.00-9
00829288000101;ITAU PRIVATE RF REFERENCIADO DI EXCLUSIVE FIC FI;;SEGMENTO BALCAO;23688.00-7
00829292000170;ITAU CORP RENDA FIXA REFERENCIADO DI FIF DA CIC RESPONSABILIDADE LIMITADA;;SEGMENTO BALCAO;23628.00-5
00832397000188;SISTAC - SISTEMAS DE ACESSO S.A.;;SEGMENTO BALCAO;49142.40-0
00832407000185;ITAU FRANCES RENDA FIXA FI;;SEGMENTO BALCAO;27538.00-5
00832435000100;ITAU INSTITUCIONAL RF REFERENCIADO DI FUNDO DE INVESTIMENTO;;SEGMENTO BALCAO;47818.00-4
